model,direction,ID,Question_EN,gt,cot,nocot,LLM_Level_Final,meta_counting_type,meta_domain_v2,meta_scene_consistency,meta_shot_transition_count,meta_content_style
InternVL2_5-8B,loss,986,"In the video, from the scene where the performer is playing the cello until the final shot freezes on the spinning top, how many times do shots of clocks with Roman numerals appear?",D,A,D,2,event,real-world,edited_with_cuts,21.0,other
InternVL2_5-8B,loss,815,How many times in total did the blonde girl appear with long hair flowing over her shoulders and hair accessories on top of her head?,D,A,D,2,object,real-world,edited_with_cuts,9.0,other
InternVL2_5-8B,loss,16,"Of the methods shown in the video, which one gets the phone the farthest from the ground?",D,A,D,3,event,instructional-media,edited_with_cuts,4.0,other
InternVL2_5-8B,loss,96,What is the approximate percentage of survivors out of the total number of combatants in the war presented in this video?,D,A,D,3,event,instructional-media,edited_with_cuts,8.0,other
InternVL2_5-8B,loss,254,How many food items in total did the woman in the video buy from the bread stall?,D,A,D,3,object,real-world,edited_with_cuts,3.0,other
InternVL2_5-8B,loss,281,How many people in total have been on stage in the video?,C,A,C,2,object,real-world,edited_with_cuts,8.0,other
InternVL2_5-8B,loss,375,"In the process of cooking duck, out of these ten seasonings—ginger, cooking wine, Sichuan peppercorns, dried chilies, rock sugar, light soy sauce, salt, dark soy sauce, beer, and water—how many are used twice?",C,A,C,3,object,real-world,edited_with_cuts,6.0,other
InternVL2_5-8B,loss,690,"In the video, how many times in total does the frog kick its legs from a curled to a straight position?",D,A,D,2,action,real-world,edited_with_cuts,2.0,other
InternVL2_5-8B,loss,1024,"Based on the different scenes in the video, which of the following scenarios appears most frequently?",D,A,D,3,event,instructional-media,edited_with_cuts,23.0,other
InternVL2_5-8B,loss,1039,"Based on the scene transitions in the video and the order in which the characters appear, how many people can be determined to have received paintings from children in the mountainous areas?",B,A,B,3,object,real-world,edited_with_cuts,9.0,other
InternVL2_5-8B,loss,1107,"In the video clip, how many more people are wearing red than purple?",D,A,D,3,object,instructional-media,continuous_shot,0.0,other
InternVL2_5-8B,loss,1162,"In the video, how many people were in the store during the earthquake, and how many successfully escaped through the back door?",D,A,D,2,object,real-world,edited_with_cuts,1.0,other
InternVL2_5-8B,loss,1197,How many types of ingredients were prepared in the video in total?,D,A,D,2,object,real-world,edited_with_cuts,23.0,other
InternVL2_5-8B,loss,1274,How many short videos about hair are in the video?,D,A,D,2,object,real-world,edited_with_cuts,23.0,other
InternVL2_5-8B,loss,1337,How many types of food are shown in the video?,D,A,D,2,object,instructional-media,continuous_shot,0.0,recorded_course_or_ppt
InternVL2_5-8B,loss,1355,How many departments organized the event in the video?,B,A,B,2,event,real-world,continuous_shot,0.0,other
InternVL2_5-8B,loss,1375,Calculate the domestic time based on the time displayed in the first frame of the video.,B,A,B,3,event,real-world,continuous_shot,0.0,other
InternVL2_5-8B,loss,1497,"How many different shapes of cups are in the video? How many cups have the same shape? (If there are duplicates, they are not counted.)",B,A,B,3,object,real-world,edited_with_cuts,26.0,other
InternVL2_5-8B,loss,5,How much money did the man in black in the video invest in total?,A,B,A,3,event,instructional-media,edited_with_cuts,17.0,other
InternVL2_5-8B,loss,20,How many days apart were the two air crashes mentioned in the video?,A,B,A,3,event,instructional-media,edited_with_cuts,5.0,recorded_course_or_ppt
InternVL2_5-8B,loss,60,How many items in total were in the travel bag that the airline gave to the male passenger in the grey top at the end of the video?,D,B,D,3,object,real-world,edited_with_cuts,8.0,other
InternVL2_5-8B,loss,68,How many character posters appear in the video?,A,B,A,1,object,real-world,edited_with_cuts,4.0,other
InternVL2_5-8B,loss,77,How many Hellobikes appear in the video?,A,B,A,1,object,real-world,edited_with_cuts,1.0,other
InternVL2_5-8B,loss,82,How many doctors appeared in the video?,D,B,D,2,object,real-world,continuous_shot,0.0,other
InternVL2_5-8B,loss,103,How many times did the red lion in the video jump continuously without stopping?,D,B,D,2,action,real-world,edited_with_cuts,0.0,other
InternVL2_5-8B,loss,115,How many liuli-making techniques are introduced in the video?,A,B,A,2,event,instructional-media,edited_with_cuts,9.0,other
InternVL2_5-8B,loss,144,How many characters were copied in the video?,A,B,A,1,object,instructional-media,edited_with_cuts,4.0,other
InternVL2_5-8B,loss,152,How many times was the gauze wrapped around the mannequin's head?,A,B,A,1,action,real-world,edited_with_cuts,2.0,recorded_course_or_ppt
InternVL2_5-8B,loss,157,How many storage tools are shown in the video clip?,A,B,A,2,object,real-world,edited_with_cuts,24.0,other
InternVL2_5-8B,loss,158,How many exercises did the blogger recommend in the video?,C,B,C,2,event,real-world,edited_with_cuts,5.0,recorded_course_or_ppt
InternVL2_5-8B,loss,180,How many cats are in the video clip?,A,B,A,1,object,real-world,edited_with_cuts,10.0,other
InternVL2_5-8B,loss,219,What is the maximum number of birds that appeared on screen?,A,B,A,3,object,real-world,edited_with_cuts,1.0,other
InternVL2_5-8B,loss,226,How many colorways of this shoe are shown in the video?,A,B,A,2,object,real-world,edited_with_cuts,6.0,recorded_course_or_ppt
InternVL2_5-8B,loss,234,What is the price difference in US dollars between the most expensive and cheapest items the girl is wearing in this video clip?,A,B,A,3,object,real-world,edited_with_cuts,4.0,other
InternVL2_5-8B,loss,237,How many crunches did the man in the video do?,A,B,A,1,action,real-world,edited_with_cuts,7.0,other
InternVL2_5-8B,loss,270,How many outfits does the woman in the video have to go with the black bag?,A,B,A,2,object,real-world,edited_with_cuts,5.0,other
InternVL2_5-8B,loss,276,"In the video, how many of the pairs playing the role of trash cans consist of one male and one female?",A,B,A,2,object,real-world,edited_with_cuts,26.0,other
InternVL2_5-8B,loss,307,How many wolves appeared in the video in total?,A,B,A,1,object,instructional-media,edited_with_cuts,3.0,other
InternVL2_5-8B,loss,343,How many times in total were seasonings added throughout the cooking process?,D,B,D,3,event,real-world,edited_with_cuts,3.0,other
InternVL2_5-8B,loss,383,How many non-meat ingredients and seasonings did the man in grey clothes add to the black iron pot?,A,B,A,2,object,real-world,edited_with_cuts,13.0,other
InternVL2_5-8B,loss,384,"By the window indoors, how many times in total does the woman in black sportswear look outside?",A,B,A,2,action,real-world,edited_with_cuts,11.0,other
InternVL2_5-8B,loss,385,"In the video, how many kinds of ingredients did the woman in the pink top handle?",D,B,D,2,object,real-world,edited_with_cuts,11.0,other
