model,direction,ID,Question_EN,gt,cot,nocot,LLM_Level_Final,meta_counting_type,meta_domain_v2,meta_scene_consistency,meta_shot_transition_count,meta_content_style
InternVL2_5-8B,gain,1394,How many moving airplanes are there in the video?,A,A,D,1,object,instructional-media,edited_with_cuts,10.0,other
InternVL2_5-8B,gain,340,How many players in total can be clearly seen falling to the ground? (Repeated appearances are counted.),A,A,D,1,event,real-world,edited_with_cuts,3.0,other
InternVL2_5-8B,gain,667,"What is the least common multiple of the number of tools the man in the black hat uses to process the black strips, and the number of tools used to process the ox horn?",A,A,D,3,object,real-world,edited_with_cuts,12.0,other
InternVL2_5-8B,gain,576,"How many different types of animals appear in the video? (If an animal appears more than once, only count it once.)",A,A,D,2,object,real-world,edited_with_cuts,8.0,other
InternVL2_5-8B,gain,288,How many years passed from the construction of the arena in the video to its excavation?,A,A,D,3,event,instructional-media,continuous_shot,0.0,other
InternVL2_5-8B,gain,412,How many things in total did the man in the light yellow jacket add to the pot during the cooking process?,A,A,D,3,object,real-world,edited_with_cuts,10.0,other
InternVL2_5-8B,gain,470,How many kinds of ingredients in total were put into the copper hot pot?,A,A,D,2,object,real-world,edited_with_cuts,6.0,other
InternVL2_5-8B,gain,553,"In the process of making a burger, what is the result of multiplying the number of times green vegetables are added by the number of times red vegetables are added?",A,A,B,3,event,real-world,edited_with_cuts,,
InternVL2_5-8B,gain,673,What is the difference between the number of types of non-liquid ingredients placed in the silver basin and the number of types placed in the black pot?,A,A,D,3,object,real-world,edited_with_cuts,11.0,other
InternVL2_5-8B,gain,675,"In the video, how many different vegetables in total appeared in the hands of the woman wearing the pink floral top?",A,A,B,2,object,real-world,continuous_shot,0.0,other
InternVL2_5-8B,gain,744,How many times does the polar bear cub in the video slide down? Only slides exceeding half a body length should be counted.,A,A,D,3,action,real-world,edited_with_cuts,2.0,other
InternVL2_5-8B,gain,777,What is the ratio of the number of times the elderly lady in a red top is holding a red envelope to her total number of appearances?,A,A,C,3,event,real-world,edited_with_cuts,4.0,other
InternVL2_5-8B,gain,1070,How many coffins containing mummies are shown in the video in total?,A,A,D,2,object,real-world,edited_with_cuts,7.0,other
InternVL2_5-8B,gain,1144,How many shots of wailing or crying are there in total in the video?,A,A,B,2,event,instructional-media,edited_with_cuts,5.0,other
InternVL2_5-8B,gain,1229,How many times do the pyramids appear in the video?,A,A,D,1,object,instructional-media,edited_with_cuts,18.0,other
InternVL2_5-8B,gain,1263,How many kinds of food are shown in the video?,A,A,C,2,object,instructional-media,edited_with_cuts,5.0,other
InternVL2_5-8B,gain,1368,How many photos did the photographer in the video take in total?,A,A,D,3,action,real-world,edited_with_cuts,4.0,other
InternVL2_5-8B,gain,1382,How many must-visit attractions are there in the video?,A,A,D,2,event,instructional-media,edited_with_cuts,4.0,other
InternVL2_5-8B,gain,1414,How many apps in total are on the phone introduced in the video?,A,A,B,3,object,instructional-media,edited_with_cuts,1.0,other
InternVL2_5-8B,gain,1451,How many brushwork techniques were shown in total?,A,A,B,2,action,instructional-media,edited_with_cuts,4.0,recorded_course_or_ppt
InternVL2_5-8B,gain,43,How many different types of dance does this video clip show?,B,B,A,2,event,instructional-media,edited_with_cuts,3.0,other
InternVL2_5-8B,gain,63,How many items in total are vacuum-sealed in the video?,B,B,A,1,object,real-world,edited_with_cuts,44.0,other
InternVL2_5-8B,gain,120,How many flips in a row did the man in the video do?,B,B,A,2,action,real-world,continuous_shot,0.0,other
InternVL2_5-8B,gain,127,How many backflips did the man in the video do?,B,B,A,1,action,real-world,continuous_shot,2.0,other
InternVL2_5-8B,gain,137,How many types of animals (in broad categories) appear in this video?,B,B,D,2,object,real-world,edited_with_cuts,12.0,other
InternVL2_5-8B,gain,184,How many devices did the man in the video introduce?,B,B,A,2,object,instructional-media,edited_with_cuts,10.0,other
InternVL2_5-8B,gain,194,"What rank is Taiwan, China, in the video?",B,B,A,3,object,real-world,edited_with_cuts,1.0,recorded_course_or_ppt
InternVL2_5-8B,gain,199,How many actions did the boy in the video demonstrate?,B,B,D,2,action,real-world,continuous_shot,6.0,other
InternVL2_5-8B,gain,202,What was the appearance order of the man with tattoos in the specified video?,B,B,C,3,object,real-world,edited_with_cuts,12.0,other
InternVL2_5-8B,gain,204,How many times as many cats as dogs are there in the video clip?,B,B,A,3,object,real-world,edited_with_cuts,15.0,other
InternVL2_5-8B,gain,257,At what age did the person mentioned in this video move to Paris?,B,B,D,2,event,real-world,edited_with_cuts,27.0,recorded_course_or_ppt
InternVL2_5-8B,gain,264,How many models have clothing that touches the ground in the specified video segment?,B,B,C,2,object,real-world,edited_with_cuts,0.0,other
InternVL2_5-8B,gain,267,How many unique individuals appeared in the video?,B,B,D,2,object,real-world,edited_with_cuts,4.0,other
InternVL2_5-8B,gain,287,How many men appeared in the video?,B,B,A,2,object,real-world,edited_with_cuts,17.0,other
InternVL2_5-8B,gain,291,What is the difference between the number of boats with red flags and those without in the video footage?,B,B,A,3,object,real-world,continuous_shot,0.0,other
InternVL2_5-8B,gain,292,How many steps of this Intangible Cultural Heritage are mentioned in the video?,B,B,A,2,event,instructional-media,edited_with_cuts,12.0,other
InternVL2_5-8B,gain,299,How many people are wearing orange clothes in the video clip?,B,B,A,1,object,real-world,edited_with_cuts,1.0,other
InternVL2_5-8B,gain,315,What is the shooting percentage of the player wearing number 9?,B,B,A,3,event,real-world,edited_with_cuts,26.0,other
InternVL2_5-8B,gain,327,How many goals were scored in total in the World Cup clip? (Goals shown in replays should also be counted.),B,B,C,3,event,real-world,edited_with_cuts,12.0,other
InternVL2_5-8B,gain,337,"During the food preparation process, what is the total number of times that the actions of slicing the pork liver and arranging the pork liver appear?",B,B,A,3,action,real-world,edited_with_cuts,11.0,other
InternVL2_5-8B,gain,341,"In the picture, how many people are there in total, including the people on the stage and the people holding signs with English text? (Duplicates are not counted.)",B,B,A,3,object,real-world,edited_with_cuts,6.0,other
InternVL2_5-8B,gain,345,"In the video, how many more squid were picked up by the woman in the white coat than were eaten later?",B,B,A,3,object,real-world,edited_with_cuts,35.0,other
InternVL2_5-8B,gain,349,How many types of ingredients are there in the video in total?,B,B,C,2,object,real-world,edited_with_cuts,8.0,other
InternVL2_5-8B,gain,372,What is the result of subtracting the number of times a white solid substance is poured into the large pot from the number of times the chef making the food pours an uncooked white powdery substance into it?,B,B,D,3,action,real-world,edited_with_cuts,1.0,other
InternVL2_5-8B,gain,399,"From the start to the end of planting potatoes outdoors, how many potato pieces in total did the woman in the black patterned clothes put into the ground?",B,B,D,2,action,real-world,edited_with_cuts,7.0,other
InternVL2_5-8B,gain,414,In how many scenes does the female character with text on her face appear? (Repeated appearances are counted.),B,B,D,2,object,real-world,edited_with_cuts,13.0,other
InternVL2_5-8B,gain,417,How many different football matches are shown in this video?,B,B,D,2,event,real-world,edited_with_cuts,4.0,other
InternVL2_5-8B,gain,487,"How many different types of kitchen utensils did the woman use in total while cooking the crayfish and noodles? (All tools used in this process are considered kitchen utensils, excluding the water tap.)",B,B,D,2,object,real-world,edited_with_cuts,11.0,other
InternVL2_5-8B,gain,566,What is the difference between the number of birds caught and eaten (replays not counted) and the number of birds that escaped after being bitten?,B,B,D,3,event,real-world,edited_with_cuts,14.0,other
InternVL2_5-8B,gain,577,"In the video, in how many different places in total did the middle-aged woman with her hair in a bun and wearing dark clothes search?",B,B,A,2,event,real-world,edited_with_cuts,7.0,other
InternVL2_5-8B,gain,602,How many kinds of seasonings and side dishes in total are added in this beef cooking video?,B,B,D,3,object,real-world,edited_with_cuts,8.0,other
InternVL2_5-8B,gain,621,"During the process of cooking the crab, how many times in total were cooking ingredients added to the black pot?",B,B,D,2,event,real-world,edited_with_cuts,4.0,other
InternVL2_5-8B,gain,631,"How many times in total did the hamster stand on its hind legs in the video? (Camera cuts are counted, but jumps are not.)",B,B,D,2,action,real-world,edited_with_cuts,12.0,other
InternVL2_5-8B,gain,634,How many pavilion pillars can be seen in total?,B,B,A,1,object,real-world,edited_with_cuts,2.0,other
InternVL2_5-8B,gain,694,How many leaves were picked off the Chinese cabbage in the hands of the old lady wearing a red embroidered coat?,B,B,D,1,action,real-world,continuous_shot,0.0,other
InternVL2_5-8B,gain,702,How many ingredients did the woman add to the golden bowl while making the food?,B,B,A,2,object,real-world,edited_with_cuts,6.0,other
InternVL2_5-8B,gain,713,"In the video, how many balls did the female athlete wearing dark blue sportswear hit but fail to get over the net?",B,B,A,2,event,real-world,edited_with_cuts,2.0,other
InternVL2_5-8B,gain,717,"Throughout the entire video, how many times did the woman in the yellow safety helmet press her hands together in front of her chest? (It only counts as one time if her hands are completely touching.)",B,B,D,2,action,real-world,edited_with_cuts,1.0,other
InternVL2_5-8B,gain,757,"In the video, what is the difference between the number of times the man in the black jacket appears alone and the number of times he appears together with the woman in the black top?",B,B,A,3,event,real-world,edited_with_cuts,12.0,other
InternVL2_5-8B,gain,801,How many times in total were cooking ingredients added to the pot during the cooking process?,B,B,D,2,event,real-world,edited_with_cuts,9.0,other
InternVL2_5-8B,gain,824,"On the soccer field, what proportion of the goal-blocking actions performed by the man in the grey-black top involved him using body contact to change the ball's trajectory?",B,B,A,3,action,real-world,edited_with_cuts,7.0,other
InternVL2_5-8B,gain,841,How many different performances did the woman in the white and blue costume give using the red table?,B,B,A,2,event,real-world,edited_with_cuts,2.0,other
InternVL2_5-8B,gain,844,How many times did the man wearing a camouflage top raise both legs straight up at the same time?,B,B,D,2,action,real-world,continuous_shot,0.0,other
InternVL2_5-8B,gain,850,"In the video, how many different types of items is the woman performing on the unicycle balancing on her head?",B,B,A,2,object,real-world,edited_with_cuts,3.0,other
InternVL2_5-8B,gain,876,How many times did the boy in the blue jersey attempt to block the goal? What is the percentage of successful blocks out of the total attempts?,B,B,A,3,action,real-world,edited_with_cuts,1.0,other
InternVL2_5-8B,gain,878,What is the sum of the jersey numbers of the two little boys who scored the goal?,B,B,A,3,event,real-world,edited_with_cuts,2.0,other
InternVL2_5-8B,gain,893,"If a stable movement in the video is considered one counting unit, how many stable movements in total did the performer in cyan-green clothing complete during the continuous sequence of actions?",B,B,A,2,action,real-world,edited_with_cuts,1.0,other
InternVL2_5-8B,gain,901,How many different types of gym equipment appear in the gym in the video?,B,B,D,2,object,real-world,edited_with_cuts,1.0,other
InternVL2_5-8B,gain,907,How many times does a serving motion appear in the video?,B,B,A,1,action,real-world,edited_with_cuts,4.0,other
InternVL2_5-8B,gain,908,"In the video, what is the total number of dashes made by all blue team heroes towards red team heroes?",B,B,D,3,action,virtual-world,continuous_shot,0.0,game_livestream
InternVL2_5-8B,gain,934,"In the video, how many times is the transparent container with yellow liquid picked up?",B,B,D,2,action,instructional-media,continuous_shot,0.0,other
InternVL2_5-8B,gain,963,The number of items held by the short-haired woman in the video changes. What is the product of the maximum and minimum number of items she holds?,B,B,A,3,object,instructional-media,edited_with_cuts,2.0,other
InternVL2_5-8B,gain,1008,"In the video, from the first time the worker appears in the underpass to their final appearance on top of the building, how many times is the worker seen wearing a safety helmet?",B,B,D,3,event,real-world,edited_with_cuts,8.0,other
InternVL2_5-8B,gain,1026,How many times did Pinyin and Chinese characters appear at the same time in the video?,B,B,A,2,event,real-world,edited_with_cuts,8.0,other
InternVL2_5-8B,gain,1029,"In the video, how many times does the little girl's father look at her, from the moment she starts trying on the red sweater until she finally puts it on and is praised by her grandmother for the beautiful clothes?",B,B,A,2,event,real-world,edited_with_cuts,6.0,other
InternVL2_5-8B,gain,1080,How many research areas on aluminum-based composite materials are mentioned in the video?,B,B,D,2,event,instructional-media,edited_with_cuts,6.0,recorded_course_or_ppt
InternVL2_5-8B,gain,1083,How many leisure and entertainment activities appear in the video?,B,B,A,2,event,real-world,edited_with_cuts,4.0,other
InternVL2_5-8B,gain,1102,How many piles are in the pile array in the video?,B,B,A,1,object,real-world,edited_with_cuts,1.0,other
InternVL2_5-8B,gain,1113,How many smart devices appear in the video clip?,B,B,A,1,object,real-world,edited_with_cuts,8.0,other
InternVL2_5-8B,gain,1147,How many kinds of animals appeared in the video?,B,B,D,2,object,instructional-media,edited_with_cuts,5.0,other
InternVL2_5-8B,gain,1176,What is the approximate difference in kilometers between the lengths of the longest rivers of the two countries introduced in the video?,B,B,A,3,object,instructional-media,edited_with_cuts,6.0,recorded_course_or_ppt
InternVL2_5-8B,gain,1189,How many types of intangible cultural heritage are shown in the video?,B,B,A,2,object,instructional-media,edited_with_cuts,6.0,other
InternVL2_5-8B,gain,1200,How many hangers are in the video?,B,B,A,1,object,instructional-media,continuous_shot,0.0,other
InternVL2_5-8B,gain,1238,"According to the video, what is the approximate survival rate for space accidents?",B,B,D,3,event,instructional-media,edited_with_cuts,9.0,other
InternVL2_5-8B,gain,1277,How many people in total are on the plane in the video?,B,B,C,3,object,instructional-media,edited_with_cuts,2.0,other
InternVL2_5-8B,gain,1310,How many figures are displayed in the cabinet in the video in total? How many of them belong to the Gundam series?,B,B,C,2,object,real-world,continuous_shot,0.0,other
InternVL2_5-8B,gain,1315,How many types of paper towel holders were made from clothes hangers in the video?,B,B,A,2,object,real-world,edited_with_cuts,7.0,other
InternVL2_5-8B,gain,1323,"According to the video, how many space launches took place in July?",B,B,D,1,event,instructional-media,edited_with_cuts,12.0,other
InternVL2_5-8B,gain,1331,How many times in total were the pull-out baskets or drawers pulled out in the video?,B,B,A,2,action,real-world,edited_with_cuts,6.0,other
InternVL2_5-8B,gain,1352,How many times in total did numbers appear in the center of the video?,B,B,D,1,event,instructional-media,edited_with_cuts,16.0,other
InternVL2_5-8B,gain,1357,How many times in total did all the people in the video stand up?,B,B,A,3,action,real-world,edited_with_cuts,7.0,recorded_course_or_ppt
InternVL2_5-8B,gain,1361,How many coins in total were dropped in the video?,B,B,A,1,object,instructional-media,continuous_shot,0.0,other
InternVL2_5-8B,gain,1404,How many people are in the video?,B,B,D,1,object,real-world,edited_with_cuts,2.0,other
InternVL2_5-8B,gain,1409,"How many cups were picked up in total in the video? Of those, how many are not transparent?",B,B,A,2,action,real-world,edited_with_cuts,3.0,other
InternVL2_5-8B,gain,1421,Did the video show the prices of multiple hotels? How many are less than 100?,B,B,D,3,object,instructional-media,edited_with_cuts,1.0,other
InternVL2_5-8B,gain,1452,How many gift boxes and shipping boxes were unboxed in total in the video?,B,B,D,3,object,real-world,edited_with_cuts,24.0,other
InternVL2_5-8B,gain,1466,How many international air routes are mentioned in the video?,B,B,A,2,event,real-world,continuous_shot,0.0,other
InternVL2_5-8B,gain,1485,How many times did the cat in the video hit the lid?,B,B,A,1,action,real-world,continuous_shot,0.0,other
InternVL2_5-8B,gain,1492,How many shots did player number 51 make in the video?,B,B,D,2,action,real-world,edited_with_cuts,13.0,other
InternVL2_5-8B,gain,1499,How many items of clothing are shown in the video? (excluding hats),B,B,D,3,object,real-world,edited_with_cuts,5.0,other
InternVL2_5-8B,gain,1532,How many animal species are shown in the video?,B,B,A,2,object,real-world,edited_with_cuts,5.0,other
InternVL2_5-8B,gain,22,How many fewer solid-colored discs are there than multi-colored discs in this video clip?,C,C,D,3,object,instructional-media,edited_with_cuts,0.0,other
InternVL2_5-8B,gain,26,"How many days were there between the murderer's first and second crimes, as introduced in this video clip?",C,C,A,3,event,instructional-media,edited_with_cuts,0.0,recorded_course_or_ppt
InternVL2_5-8B,gain,27,How many minutes a day is the service center in this video clip open?,C,C,A,3,event,instructional-media,continuous_shot,0.0,other
InternVL2_5-8B,gain,74,How many years apart were the two hard drives mentioned in this video clip invented?,C,C,A,3,event,instructional-media,edited_with_cuts,8.0,other
InternVL2_5-8B,gain,130,How many cats in the video are not Chinese pastoral cats?,C,C,A,3,object,real-world,edited_with_cuts,4.0,other
InternVL2_5-8B,gain,165,What is the approximate total calorie count of the cake made from the recipe shown in the video?,C,C,B,3,object,real-world,edited_with_cuts,9.0,other
InternVL2_5-8B,gain,183,How many times is the thread wrapped around the needle in the picture?,C,C,A,1,action,real-world,continuous_shot,0.0,recorded_course_or_ppt
InternVL2_5-8B,gain,218,How many shots appeared in the video clip?,C,C,B,2,event,real-world,edited_with_cuts,10.0,other
InternVL2_5-8B,gain,230,How many attempts did the orca pod make to capture the first seal?,C,C,B,2,event,real-world,edited_with_cuts,20.0,other
InternVL2_5-8B,gain,231,How many women wearing white dresses appeared in the video?,C,C,A,2,object,real-world,edited_with_cuts,15.0,other
InternVL2_5-8B,gain,266,How many male attendants are in the video?,C,C,B,2,object,instructional-media,continuous_shot,0.0,other
InternVL2_5-8B,gain,314,How many goals in total did the team in red jerseys score in the video?,C,C,D,3,event,real-world,edited_with_cuts,10.0,other
InternVL2_5-8B,gain,320,What is the man's shooting percentage in the video?,C,C,A,3,event,real-world,edited_with_cuts,19.0,other
InternVL2_5-8B,gain,362,"In the video, how many times in total do the red-and-white and blue-and-white decorations on the cars appear? (Each change of shot counts as one appearance.)",C,C,D,3,event,real-world,edited_with_cuts,4.0,other
InternVL2_5-8B,gain,367,What is the difference in the number of shots between the team in white jerseys and the team in red jerseys?,C,C,A,3,action,real-world,edited_with_cuts,7.0,game_livestream
InternVL2_5-8B,gain,411,"In the video, how many times does the scene of the man in the white top grabbing and mixing the bullfrogs in the container appear?",C,C,A,2,event,real-world,edited_with_cuts,5.0,other
InternVL2_5-8B,gain,520,"What is the number of times the character uses scissors to handle the shrimp, multiplied by the number of times the shrimp is wiped with a paper towel? (Repeated occurrences also count.)",C,C,B,3,action,real-world,edited_with_cuts,5.0,other
InternVL2_5-8B,gain,528,How many times does the tide recede in the video?,C,C,B,1,event,real-world,edited_with_cuts,,
InternVL2_5-8B,gain,531,How many times in total does a scene of a spider wrapping something in its web appear?,C,C,A,2,event,real-world,edited_with_cuts,,
InternVL2_5-8B,gain,533,How many times in the picture does the spider wrap an item with its silk?,C,C,A,2,action,real-world,edited_with_cuts,,
InternVL2_5-8B,gain,585,"In the video, how many times in total were dishes brought to the table?",C,C,D,1,action,real-world,edited_with_cuts,3.0,other
InternVL2_5-8B,gain,595,How many times the number of white objects appearing at the very beginning of the video is the number appearing at the very end? (The number of white objects is at least 1 in both cases.),C,C,D,3,object,real-world,edited_with_cuts,9.0,other
