ID,num_models,question
143,7,How many countries' iconic buildings appeared in the video?
451,7,What is the result of multiplying the number of types of non-liquid ingredients added to the yellow bowl by the number of types of non-liquid ingredients added to the black pot?
835,7,"In the video, in how many different locations do the white-haired man and the man with the hat appear at the same time?"
1485,7,How many times did the cat in the video hit the lid?
27,6,How many minutes a day is the service center in this video clip open?
292,6,How many steps of this Intangible Cultural Heritage are mentioned in the video?
326,6,"In this video clip, how many times do all the players in blue jerseys touch the ball?"
341,6,"In the picture, how many people are there in total, including the people on the stage and the people holding signs with English text? (Duplicates are not counted.)"
634,6,How many pavilion pillars can be seen in total?
694,6,How many leaves were picked off the Chinese cabbage in the hands of the old lady wearing a red embroidered coat?
713,6,"In the video, how many balls did the female athlete wearing dark blue sportswear hit but fail to get over the net?"
742,6,How many times in total does the red race car appear on the track in the entire video?
963,6,The number of items held by the short-haired woman in the video changes. What is the product of the maximum and minimum number of items she holds?
1081,6,How many chemical elements appeared in the video?
1119,6,What is the growth rate from the minimum to the maximum value in the video frame?
1179,6,Approximately how many fewer liters of fuel does the fighter jet in the video consume during standard flight compared to when using the afterburner?
1180,6,How many more liters of fuel does the fighter jet in the video have with full drop tanks compared to the centerline drop tank?
1217,6,How many kinds of exercise equipment appear in the video?
1371,6,How many properties of the materials are mentioned in the video?
12,5,How many cardboard boxes are used in the video?
22,5,How many fewer solid-colored discs are there than multi-colored discs in this video clip?
101,5,How many quintessences of Chinese culture does the author in the video believe are on the verge of being lost due to their high difficulty?
148,5,How many boxes did the player draw in the video with five pulls?
149,5,By how many tons does the cargo carried by the vessel in this video clip exceed the maximum load capacity?
230,5,How many attempts did the orca pod make to capture the first seal?
234,5,What is the price difference in US dollars between the most expensive and cheapest items the girl is wearing in this video clip?
263,5,How many people are performing in the clip?
269,5,How many different breeds of cats appear in the video?
287,5,How many men appeared in the video?
340,5,How many players in total can be clearly seen falling to the ground? (Repeated appearances are counted.)
345,5,"In the video, how many more squid were picked up by the woman in the white coat than were eaten later?"
488,5,"Which value is the greatest: the number of times the woman rolls the dough into a flatbread, the number of times she flips the flatbread in her hands before putting it in the oil pan, or the number of times she touches it with tongs after it is in the pan and bubbles have appeared? (Taking the flatbread out with the tongs does not count as touching it.)"
555,5,How many times did a clear picture of a treeshrew licking a pitcher plant appear?
576,5,"How many different types of animals appear in the video? (If an animal appears more than once, only count it once.)"
601,5,What is the combined number of appearances of the drongo and the meerkat in the video clip?
605,5,How many times does the woman in the white jacket appear in the full video?
687,5,"In the video, how many times in total did the pika run to its den in the rocks carrying plants?"
845,5,"What is the difference between the number of times the man in the camouflage top touches the silver cylinder with both hands, and the number of times he touches it with a single hand?"
869,5,How many times did the woman performing the unicycle act kick the bowls from her foot to her head?
893,5,"If a stable movement in the video is considered one counting unit, how many stable movements in total did the performer in cyan-green clothing complete during the continuous sequence of actions?"
909,5,What is the total sum of the number of flames and flags on the wall? (Three consecutive flags count as one)
982,5,"According to the video content, what is the maximum number of times the blind girl touches Braille with her hands in outdoor scenes?"
1072,5,How many times do snowy scenes appear in the video?
1248,5,What is the difference in years between the invention of the two types of paper mentioned in the video?
1312,5,How many balls are on the ground in the video?
1361,5,How many coins in total were dropped in the video?
1366,5,How many people are in the video?
1447,5,How many paintings appeared in the video in total?
26,4,"How many days were there between the murderer's first and second crimes, as introduced in this video clip?"
32,4,What is the total face value of the banknotes that are clearly visible in the video?
54,4,How many sets of outfit comparisons appear in this video clip?
60,4,How many items in total were in the travel bag that the airline gave to the male passenger in the grey top at the end of the video?
