ID,num_models,question
748,7,What is the dunking percentage of the person in the dark gray clothes in the video?
83,6,How many names in the Yang family tree shown in the video are not marked in red?
402,6,How many times did the man with glasses lower his head to hide behind the wall?
1322,6,How many times was the paper folded in the video?
1497,6,"How many different shapes of cups are in the video? How many cups have the same shape? (If there are duplicates, they are not counted.)"
452,5,How many times did the scene of the woman in a white top riding a white motorcycle appear?
510,5,In how many scenes did the basket appear during the picnic preparation and the picnic itself? (Shot changes do not count.)
516,5,How many times did the woman wearing the white net cap appear in the video?
551,5,How many times did the action of picking fruit from the tree by hand occur?
749,5,How many different actions did the man in the dark gray top perform in total in the video?
777,5,What is the ratio of the number of times the elderly lady in a red top is holding a red envelope to her total number of appearances?
802,5,How many times does the river appear? (Scene changes are included in the count.)
822,5,How many types of non-liquid ingredients did the lady put into the purple bowl?
832,5,What is the shooting percentage of the man in the grey top on the basketball court?
1068,5,How many women in the video have makeup and attire that include pearl elements?
1144,5,How many shots of wailing or crying are there in total in the video?
1269,5,How many tips are officially introduced in the video?
1519,5,How many times does the blue and black cake appear in the video?
13,4,How many pieces of clothing did the lady in the video touch in total?
26,4,"How many days were there between the murderer's first and second crimes, as introduced in this video clip?"
61,4,How many scenes from the drama and movie versions were shown in total at the end of the video?
136,4,How many clips is the man sitting in the video wearing on his head?
162,4,What is the difference in sun cost between the most expensive and least expensive plants selected in the video segment?
185,4,"In the video, how many more yellow cats are there than blue cats?"
218,4,How many shots appeared in the video clip?
245,4,How many types of Cantonese food shown in the video are labeled with their names?
351,4,"How many different tasks did the woman with curly hair, wearing a light-colored top, complete throughout the entire cooking process?"
370,4,"In the video, the woman is cutting a block of meat. A cut is counted each time a piece is completely separated from the remaining part. How many cuts were made in total?"
375,4,"In the process of cooking duck, out of these ten seasonings—ginger, cooking wine, Sichuan peppercorns, dried chilies, rock sugar, light soy sauce, salt, dark soy sauce, beer, and water—how many are used twice?"
376,4,"When making a broom from sun-dried sorghum, how many times does the rope-binding step occur?"
384,4,"By the window indoors, how many times in total does the woman in black sportswear look outside?"
406,4,"In the video, of the two people eating chicken feet, how many times did the man bite the chicken feet?"
410,4,"How many times did the woman in the black jacket and the woman in the white jacket appear in the video, respectively?"
413,4,"In the video, how many times did the hanging bullfrog hit the face of the man in the white shirt before he was startled awake?"
418,4,How many green wigs appeared in the video? (Reappearances are counted multiple times)
489,4,"How many different types of ingredients did the woman in the video prepare in total? (Staple foods, seasonings, side ingredients, etc., all count as ingredients.)"
490,4,How many times did the woman swing the kitchen knife up and down? (Contact with the cutting board counts as one time; back-and-forth movements of the knife on the board do not count.)
512,4,"In the video, how many times is a crab cut in half with a cleaver?"
549,4,What is the difference between the number of times a cleaver is used to chop the meat filling and the number of times it is used to chop the green peppers? (A single chop is counted from the moment the cleaver makes contact with an ingredient until it leaves.)
562,4,In how many different locations did the two curly-haired men with a yellow backpack and a khaki backpack appear? (A shot change counts as one location.)
586,4,How many different tools does the woman in purple use in the video? (Recurring tools are only counted once.)
628,4,"In the video, how many times does the man in the black top pick up food with his chopsticks? What is the ratio of the number of times he eats the food after picking it up to the total number of times he picks up food?"
645,4,How many times did the yak appear in the video in total?
672,4,"In the video, how many times in total did the elderly person in the blue top lay straw on the wooden rack?"
681,4,How many different types of ingredients appeared during the barbecue?
716,4,"In the video, how many times in total did the person wearing a watch lift the bucket?"
809,4,"Based on the video content, in how many different scenes does the woman wearing a black top appear?"
815,4,How many times in total did the blonde girl appear with long hair flowing over her shoulders and hair accessories on top of her head?
828,4,How many different-colored race cars does the woman in the grey top and pants appear next to in total?
836,4,What is the proportion of goals scored by directly kicking the ball into the net out of all valid goals? (Excluding replays.)
846,4,"On the badminton court, which type of shot does the lady in the white top use most often?"
